アイスランド共和国,126,is,733.16538,305.47418,3
アイルランド,82,ie,890.83150,141.14740,3
アゼルバイジャン共和国,106,az,317.1398,138.67299,2
アフガニスタン・イスラム共和国,33,af,956.99273,70.40197,2
アメリカ合衆国,151,us,773.64018,522.81916,4
アメリカ領サモア,211,as,454.57449,580.63357,6
アラブ首長国連邦,25,ae,551.90858,83.98149,2
アルジェリア民主人民共和国,16,dz,641.25984,282.59792,5
アルゼンチン共和国,77,ar,869.82766,35.80627,5
アルバ,213,aw,134.72951,135.28329,5
アルバニア共和国,70,al,863.44714,861.32667,3
アルメニア共和国,115,am,790.93437,889.54748,2
アンギラ,218,ai,927.17934,957.42705,5
アンゴラ共和国,50,ao,116.84326,159.66281,1
アンティグア・バーブーダ,195,ag,432.10145,174.13070,5
アンドラ公国,191,ad,114.90340,657.89674,3
イエメン共和国,11,ye,701.99277,838.21777,2
イギリス領ヴァージン諸島,215,vg,529.53939,584.25825,5
イスラエル国,137,il,564.98034,736.5433,2
イタリア共和国,31,it,381.28017,879.32384,3
イラク共和国,55,iq,844.5347,712.29271,2
イラン・イスラム共和国,107,ir,857.7012,368.41284,2
インド,95,in,652.80732,805.81373,2
インドネシア共和国,10,id,978.972,509.47417,2
ヴァージン諸島,183,vi,57.51818,58.35110,5
ウォリス・フツナ,210,wf,599.31153,40.65788,6
ウガンダ共和国,41,ug,294.18372,234.1185,1
ウクライナ,147,ua,604.42481,317.28839,3
ウズベキスタン共和国,156,uz,129.81006,176.61979,2
ウルグアイ東方共和国,110,uy,885.41406,244.71490,5
エクアドル共和国,142,ec,278.82146,127.3117,5
エジプト・アラブ共和国,88,eg,818.1204,599.76644,1
エストニア共和国,113,ee,864.73353,621.58294,3
エチオピア連邦民主共和国,64,et,869.23719,841.33094,1
エリトリア国,150,er,262.84900,834.68311,1
エルサルバドル共和国,98,sv,246.86176,79.28142,5
オーストラリア連邦,53,au,792.7328,186.2699,6
オーストリア共和国,38,at,522.24459,549.98405,3
オマーン国,75,om,572.75533,35.54315,2
オランダ王国,131,nl,589.10248,132.56978,3
オランダ領シント・マールテン島,185,sx,269.81724,871.78197,5
ガーナ共和国,37,gh,665.11773,314.22699,1
カーボベルデ共和国,175,cv,142.40796,530.24503,1
ガーンジー,220,gg,387.98330,983.92706,3
ガイアナ共和国,99,gy,113.67741,287.64129,5
カザフスタン共和国,152,kz,97.80655,313.92792,2
カタール国,168,qa,114.55663,254.21308,2
カナダ,97,ca,950.54937,61.43461,4
ガボン共和国,119,ga,702.11216,854.23423,1
カメルーン共和国,18,cm,825.98680,854.79295,1
ガンビア共和国,167,gm,240.75672,307.60768,1
カンボジア王国,123,kh,564.31101,231.87993,2
ギニアビサウ共和国,36,gw,489.56098,492.43296,1
ギニア共和国,81,gn,324.20131,563.92471,1
キプロス共和国,170,cy,31.27033,271.66749,2
キューバ共和国,45,cu,853.98075,772.54676,5
キュラソー島,184,cw,426.96318,981.37759,5
ギリシャ共和国,140,gr,780.34744,907.46839,3
キリバス共和国,188,ki,608.27642,643.4541,6
キルギス共和国,73,kg,947.39846,429.3095,2
グアテマラ共和国,65,gt,996.82167,575.52748,5
グアム,230,gu,922.50140,569.41633,6
クウェート国,161,kw,600.74972,329.98044,2
クック諸島,209,ck,532.38977,388.44194,6
グリーンランド,57,gl,56.77744,640.35787,4
グルジア,3,ge,468.27063,816.8999,2
グレートブリテン及び北アイルランド連合王国,78,gb,69.78362,651.24805,3
グレナダ,200,gd,157.73935,198.69571,5
クロアチア共和国,56,hr,696.50590,782.50718,3
ケイマン諸島,203,ky,155.17797,187.23084,5
ケニア共和国,21,ke,812.4785,234.41943,5
コートジボワール共和国,15,ci,201.46061,563.44439,1
コスタリカ共和国,79,cr,487.61138,841.29907,5
コモロ連合,179,km,35.58521,824.14015,1
コロンビア共和国,48,co,970.77398,204.86546,5
コンゴ共和国,111,cg,925.65627,51.88045,1
コンゴ民主共和国,30,cd,63.12312,256.18034,1
サウジアラビア王国,90,sa,554.39143,605.50847,2
サウスジョージア・サウスサンドウィッチ諸島,166,gs,562.92692,657.10467,1
サハラ・アラブ民主共和国,67,eh,303.28388,473.87521,1
サモア独立国,177,ws,483.15215,200.55051,6
